partner_name,address,city,state,county,partner_type
Community Spirit,P.O. Box 13,Adams,Tennessee,Robertson,community_development
Compassionate Counsel,PO Box 1131,Gallatin,Tennessee,Sumner,medical_health
Compassionate Hands / Compassionate Hands of Wilson County,"214 N College St, Lebanon, TN, USA",Lebanon,Tennessee,Wilson,homeless_outreach
Conexion Americas,"2195 Nolensville Pk, Nashville, TN 37211, USA",Nashville,Tennessee,Davidson,community_development
Connect Us Outreach Ministry,P.O. Box 159192,Nashville,Tennessee,Davidson,community_development
Connections Homes,"2013 25th Ave N, Nashville, TN 37208, USA",Nashville,Tennessee,Davidson,transitional_housing
Conquering CHD - Tennessee,PO Box 1371,Mt. Juliet,Tennessee,Wilson,medical_health
Cool Kids Campaign,PO Box 2912,Brentwood,Tennessee,Williamson,medical_health
COOP,"507 Hagan Street, Nashville, TN, USA",Nashville,Tennessee,Davidson,workforce_development
Cooper Trooper Foundation,"227 Chester Stevens Rd, Franklin, TN 37067, USA",Franklin,Tennessee,Williamson,medical_health
Cooperative Outreach for Personal Emergencies (COPE),"810S Main St, Los Angeles, CA 90014, USA",Springfield,Tennessee,Robertson,community_meals
Corner to Corner,"604 Gallatin Ave suite 214, Nashville, TN, USA",Nashville,Tennessee,Davidson,community_development
Corrine's Place of Love,"2704 Torbett Street, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Cosecha Community Development,"2621 Nolensville Rd, Nashville, TN 37211, USA",Nashville,Tennessee,Davidson,community_development
